## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/data3ZEUSPV/bioinf2025/qc_results/alignment/ERR4079285_sorted.bam] OUTPUT=/mnt/data3ZEUSPV/bioinf2025/qc_results/alignment/ERR4079285_dedup.bam METRICS_FILE=/mnt/data3ZEUSPV/bioinf2025/qc_results/alignment/alignment_stats/ERR4079285_dedup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 11 05:29:14 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	82493	8452748	28918	406949	14892	66306	0	0.008683	535960644

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	8320432	8320432
2.0	1.984353	65718	65718
3.0	2.953302	288	288
4.0	3.907091	4	4
5.0	4.845954	0	0
6.0	5.770127	0	0
7.0	6.679839	0	0
8.0	7.575317	0	0
9.0	8.456782	0	0
10.0	9.324454	0	0
11.0	10.17855	0	0
12.0	11.019281	0	0
13.0	11.846857	0	0
14.0	12.661483	0	0
15.0	13.463363	0	0
16.0	14.252695	0	0
17.0	15.029676	0	0
18.0	15.794499	0	0
19.0	16.547355	0	0
20.0	17.28843	0	0
21.0	18.017909	0	0
22.0	18.735974	0	0
23.0	19.442803	0	0
24.0	20.138572	0	0
25.0	20.823454	0	0
26.0	21.497619	0	0
27.0	22.161235	0	0
28.0	22.814467	0	0
29.0	23.457478	0	0
30.0	24.090427	0	0
31.0	24.713472	0	0
32.0	25.326768	0	0
33.0	25.930468	0	0
34.0	26.524721	0	0
35.0	27.109675	0	0
36.0	27.685477	0	0
37.0	28.252269	0	0
38.0	28.810191	0	0
39.0	29.359384	0	0
40.0	29.899983	0	0
41.0	30.432123	0	0
42.0	30.955937	0	0
43.0	31.471554	0	0
44.0	31.979103	0	0
45.0	32.47871	0	0
46.0	32.970499	0	0
47.0	33.454594	0	0
48.0	33.931113	0	0
49.0	34.400176	0	0
50.0	34.861899	0	0
51.0	35.316398	0	0
52.0	35.763785	0	0
53.0	36.204171	0	0
54.0	36.637667	0	0
55.0	37.064379	0	0
56.0	37.484414	0	0
57.0	37.897877	0	0
58.0	38.30487	0	0
59.0	38.705495	0	0
60.0	39.099851	0	0
61.0	39.488036	0	0
62.0	39.870147	0	0
63.0	40.246279	0	0
64.0	40.616526	0	0
65.0	40.980979	0	0
66.0	41.339729	0	0
67.0	41.692866	0	0
68.0	42.040477	0	0
69.0	42.382649	0	0
70.0	42.719466	0	0
71.0	43.051014	0	0
72.0	43.377373	0	0
73.0	43.698626	0	0
74.0	44.014852	0	0
75.0	44.326129	0	0
76.0	44.632537	0	0
77.0	44.934149	0	0
78.0	45.231042	0	0
79.0	45.52329	0	0
80.0	45.810964	0	0
81.0	46.094137	0	0
82.0	46.372879	0	0
83.0	46.64726	0	0
84.0	46.917347	0	0
85.0	47.183208	0	0
86.0	47.444909	0	0
87.0	47.702515	0	0
88.0	47.95609	0	0
89.0	48.205697	0	0
90.0	48.451399	0	0
91.0	48.693256	0	0
92.0	48.931328	0	0
93.0	49.165676	0	0
94.0	49.396356	0	0
95.0	49.623427	0	0
96.0	49.846944	0	0
97.0	50.066964	0	0
98.0	50.283542	0	0
99.0	50.49673	0	0
100.0	50.706583	0	0

